Date,Weekend,Promotion,Gm#,Tm,Opp,W-L,Rank,GB,D/N,Attendance,Streak
2012-7-15,1,1,88,NYY,LAA,54-34,1,up 8.0,D,46679,-
2012-7-16,0,0,89,NYY,TOR,55-34,1,up 9.0,N,42819,+
2012-7-17,0,1,90,NYY,TOR,56-34,1,up 9.5,N,44975,++
2012-7-18,0,1,91,NYY,TOR,57-34,1,up10.0,D,45986,+++
2012-7-27,0,0,99,NYY,BOS,60-39,1,up 8.5,N,49571,++
2012-7-28,1,0,100,NYY,BOS,60-40,1,up 8.5,N,49573,-
2012-7-29,1,0,101,NYY,BOS,60-41,1,up 7.5,N,48526,--
2012-7-30,0,1,102,NYY,BAL,60-42,1,up 6.5,N,43052,---
2012-7-31,0,0,103,NYY,BAL,60-43,1,up 5.5,N,42821,----
2012-8-1,0,0,104,NYY,BAL,61-43,1,up 6.5,D,44593,+
2012-8-3,0,0,105,NYY,SEA,62-43,1,up 6.5,N,45872,++
2012-8-4,1,1,106,NYY,SEA,62-44,1,up 6.5,D,47067,-
2012-8-5,1,0,107,NYY,SEA,63-44,1,up 6.5,D,45878,+
2012-8-13,0,1,115,NYY,TEX,68-47,1,up 5.0,N,45676,+
2012-8-14,0,1,116,NYY,TEX,69-47,1,up 6.0,N,44533,++
2012-8-15,0,1,117,NYY,TEX,70-47,1,up 6.0,N,45921,+++
2012-8-16,0,1,118,NYY,TEX,70-48,1,up 6.0,D,47645,-
2012-8-17,0,0,119,NYY,BOS,71-48,1,up 6.0,N,49422,+
2012-8-18,1,0,120,NYY,BOS,71-49,1,up 5.0,D,49466,-
2012-8-19,1,0,121,NYY,BOS,72-49,1,up 5.0,N,48620,+
2012-8-27,0,0,128,NYY,TOR,74-54,1,up 3.5,N,42962,-
2012-8-28,0,1,129,NYY,TOR,75-54,1,up 3.5,N,42472,+
2012-8-29,0,1,130,NYY,TOR,75-55,1,up 3.5,D,46010,-
2012-8-31,0,0,131,NYY,BAL,75-56,1,up 2.0,N,43352,--
2012-9-1,1,1,132,NYY,BAL,76-56,1,up 3.0,D,46122,+
2012-9-2,1,1,133,NYY,BAL,76-57,1,up 2.0,D,46501,-
2012-9-14,0,1,144,NYY,TBR,81-63,1,Tied,N,45200,-
2012-9-15,1,1,145,NYY,TBR,82-63,1,up 1.0,D,46856,+
2012-9-16,1,0,146,NYY,TBR,83-63,1,up 1.0,D,43489,++
2012-9-19,0,1,147,NYY,TOR,84-63,1,up 0.5,D,39859,+++
2012-9-19,0,1,148,NYY,TOR,85-63,1,up 0.5,N,39997,++++
2012-9-20,0,1,149,NYY,TOR,86-63,1,up 1.0,N,40511,+++++
2012-9-21,0,1,150,NYY,OAK,87-63,1,up 1.0,N,40759,++++++
2012-9-22,1,1,151,NYY,OAK,88-63,1,up 1.0,D,44026,+++++++
2012-9-23,1,1,152,NYY,OAK,88-64,1,up 1.0,D,43867,-
2012-10-1,0,0,160,NYY,BOS,93-67,1,up 1.0,N,45478,++
2012-10-2,0,0,161,NYY,BOS,94-67,1,up 1.0,N,41564,+++
2012-10-3,0,0,162,NYY,BOS,95-67,1,up 2.0,N,47393,++++
Date,Weekend,Promotion,Gm#,Tm,Opp,W-L,Rank,GB,D/N,Attendance,Streak
2013-4-1,0,0,1,NYY,BOS,0-1,5,1.0,D,49514,-
2013-4-3,0,0,2,NYY,BOS,0-2,4,2.0,N,40216,--
2013-4-4,0,0,3,NYY,BOS,1-2,3,1.0,N,40611,+
2013-4-12,0,1,9,NYY,BAL,5-4,1,Tied,N,35033,++++
2013-4-13,1,1,10,NYY,BAL,5-5,3,1.0,D,41851,-
2013-4-14,1,1,11,NYY,BAL,6-5,2,1.0,N,34154,+
2013-4-16,0,0,12,NYY,ARI,7-5,2,1.5,N,34107,++
2013-4-17,0,0,13,NYY,ARI,8-5,2,1.5,N,34369,+++
2013-4-18,0,1,14,NYY,ARI,8-6,2,2.5,N,36033,-
2013-4-25,0,0,21,NYY,TOR,12-9,3,2.5,N,31445,+
2013-4-26,0,0,22,NYY,TOR,13-9,3,2.5,N,36151,++
2013-4-27,1,0,23,NYY,TOR,14-9,3,2.5,D,40258,+++
2013-4-28,1,0,24,NYY,TOR,15-9,2,2.5,D,36872,++++
2013-4-29,0,0,25,NYY,HOU,15-10,2,3.0,N,34262,-
2013-4-30,0,0,26,NYY,HOU,16-10,2,2.0,N,34301,+
2013-5-1,0,0,27,NYY,HOU,17-10,2,2.0,N,34117,++
2013-5-3,0,0,28,NYY,OAK,17-11,2,2.5,N,38090,-
2013-5-4,1,1,29,NYY,OAK,18-11,2,1.5,D,41349,+
2013-5-5,1,1,30,NYY,OAK,18-12,2,1.5,D,38134,-
2013-5-14,0,0,39,NYY,SEA,25-14,1,up 2.0,N,41267,++
2013-5-15,0,0,40,NYY,SEA,25-15,1,up 2.0,N,34081,-
2013-5-16,0,1,41,NYY,SEA,25-16,1,up 1.0,N,35392,--
2013-5-17,0,0,42,NYY,TOR,26-16,1,up 1.0,N,40008,+
2013-5-18,1,1,43,NYY,TOR,27-16,1,up 1.0,D,45577,++
2013-5-29,0,0,52,NYY,NYM,30-22,2,1.0,N,43681,----
2013-5-30,0,0,53,NYY,NYM,30-23,2,2.0,N,44207,-----
2013-5-31,0,0,54,NYY,BOS,31-23,2,1.0,N,45141,+
2013-6-1,1,0,55,NYY,BOS,31-24,2,2.0,N,48784,-
